Taken_product,Yearly_avg_view_on_travel_page_code,Daily_Avg_mins_spend_on_traveling_page_code,montly_avg_comment_on_company_page_code,total_likes_on_outofstation_checkin_received_code,Yearly_avg_comment_on_travel_page_code,total_likes_on_outstation_checkin_given_code,preferred_device,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,week_since_last_outstation_checkin,following_company_page,working_flag,travelling_network_rating,Adult_flag
1,3,0,1,2,3,3,1,1,2,0,8,1,0,1,0
0,3,0,2,2,3,3,3,1,1,0,1,0,1,4,1
1,2,0,1,0,2,2,1,1,2,1,6,1,0,2,0
0,2,0,1,1,2,2,3,1,4,0,1,1,0,3,0
0,2,0,1,1,2,2,1,1,1,2,9,0,0,4,1
0,2,0,1,1,2,2,3,1,2,0,0,0,0,3,0
0,2,0,2,3,2,2,3,23,3,0,0,0,1,2,0
0,2,0,1,0,2,2,1,16,3,2,0,0,0,3,1
0,2,0,1,1,2,2,1,15,2,0,0,1,0,4,0
0,2,0,1,1,2,2,1,26,1,0,1,0,0,4,1
0,2,0,1,1,2,2,1,19,2,2,0,0,0,3,1
1,2,0,1,0,2,2,1,24,3,0,5,1,0,2,0
0,2,0,1,3,2,2,1,21,4,0,1,0,0,3,1
0,3,3,1,6,3,3,1,1,4,0,2,0,0,3,0
0,2,0,1,1,2,2,1,1,3,0,5,1,0,3,0
0,1,0,1,1,1,1,5,11,2,1,0,0,0,4,1
1,2,0,2,1,2,2,1,1,4,0,7,0,1,2,0
0,2,1,1,4,2,2,1,1,4,0,0,0,0,3,0
0,1,0,1,0,1,1,1,15,2,0,1,0,0,4,0
1,2,0,1,1,2,2,1,1,1,2,2,0,0,3,0
0,3,2,1,6,3,3,1,1,3,3,4,0,0,4,1
1,2,0,2,1,2,2,3,16,1,0,1,1,1,2,0
0,3,2,1,4,3,3,1,1,4,2,3,0,0,4,1
0,3,0,1,2,3,3,1,10,4,1,2,1,0,4,0
0,2,0,1,0,2,2,1,1,2,2,1,0,0,1,0
1,2,1,1,0,2,2,1,1,3,4,3,0,0,3,1
1,1,0,1,0,1,1,1,1,3,2,2,1,0,1,1
0,3,0,1,1,3,3,1,1,2,2,1,0,0,4,1
1,3,0,1,1,3,3,1,1,2,5,1,1,0,3,0
0,2,0,1,0,2,2,1,1,3,5,1,0,0,1,0
0,2,0,1,1,2,2,1,1,4,0,9,1,0,4,1
0,2,0,1,2,2,2,3,1,3,0,2,0,0,1,1
0,2,0,1,0,2,2,1,1,2,1,1,0,0,3,1
0,2,0,1,0,2,2,1,1,4,0,1,0,0,4,1
1,1,0,1,0,1,1,1,25,3,0,1,0,0,3,0
0,2,0,1,3,2,2,3,1,3,0,1,0,0,4,0
0,2,1,2,1,2,2,3,1,2,2,1,0,1,4,0
1,3,2,1,6,3,3,1,12,3,4,1,0,0,4,0
1,2,0,1,1,2,2,1,1,4,4,1,1,0,3,0
0,3,0,2,2,3,3,1,1,5,5,5,1,1,3,1
0,2,0,1,3,2,2,5,11,2,2,2,1,0,3,1
0,1,0,1,1,1,1,1,23,3,5,7,1,0,3,1
0,2,1,1,5,2,2,3,1,2,0,1,1,0,3,0
0,2,0,2,3,2,2,3,18,5,0,1,0,1,4,1
0,2,0,1,1,2,2,1,23,4,2,3,1,0,3,1
